Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,BbAvH,BbAvD,BbAvA
E0,17/08/2002,Blackburn,Sunderland,0,0,D,0,0,D,D Elleray,15,7,5,3,14,11,9,1,1,2,0,0,1.727,3.25,4.333,1.6,3.4,4.5,1.8,3.1,3.8,1.615,3.25,5,1.83,3.4,3.75,1.727,3.2,5,1.66,3.3,4.5,1.82,1.82,,,1.708428571,3.271428571,4.411857143
E0,17/08/2002,Charlton,Chelsea,2,3,A,2,1,H,G Barber,5,21,5,12,10,12,3,6,0,3,1,0,2.8,3.25,2.2,2.96,3.15,2.25,2.9,3,2.2,2.8,3.2,2.2,2.75,3.25,2.25,3,3.25,2.2,2.75,3.1,2.3,1.87,1.77,,,2.851428571,3.171428571,2.228571429
E0,17/08/2002,Everton,Tottenham,2,2,D,1,0,H,N Barry,13,10,9,5,18,4,10,5,1,1,0,0,2.25,3.25,2.75,2.39,3.11,2.81,2.3,3,2.7,2.25,3.2,2.75,2.38,3.2,2.63,2.4,3.1,2.8,2.3,3.1,2.75,1.92,1.72,,,2.324285714,3.137142857,2.741428571
E0,17/08/2002,Fulham,Bolton,4,1,H,3,1,H,A Wiley,13,3,6,1,16,12,7,4,1,2,0,0,1.727,3.25,4.333,1.83,3.26,4.05,1.8,3.1,3.8,1.833,3.2,3.75,1.91,3.25,3.5,1.8,3.2,4.333,1.72,3.2,4.33,1.82,1.82,,,1.802857143,3.208571429,4.013714286
E0,17/08/2002,Leeds,Man City,3,0,H,2,0,H,G Poll,13,18,8,10,13,13,2,7,1,1,0,0,1.667,3.4,4.5,1.73,3.45,4.6,1.7,3.2,4.2,1.615,3.5,4.5,1.67,3.4,4.5,1.727,3.4,4.5,1.66,3.3,4.5,1.72,1.92,,,1.681285714,3.378571429,4.471428571
E0,17/08/2002,Man United,West Brom,1,0,H,0,0,D,S Bennett,20,6,13,5,9,12,9,1,1,1,0,1,1.2,5,12,1.24,5.2,12,1.2,5,10,1.2,5,11,1.2,5,13,1.2,5.5,13,1.2,5,11,1.52,2.22,,,1.205714286,5.1,11.71428571
E0,17/08/2002,Southampton,Middlesbrough,0,0,D,0,0,D,B Knight,12,11,5,5,11,14,3,4,0,0,0,0,2.25,3.25,2.75,2.36,3.27,2.79,2.2,3,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.2,3.25,3,2.62,3.1,2.37,1.97,1.67,,,2.297142857,3.195714286,2.758571429
E0,18/08/2002,Arsenal,Birmingham,2,0,H,2,0,H,M Riley,15,7,7,1,6,11,9,2,0,1,0,1,1.222,5,10,1.2,4.8,13.2,1.25,4.5,9,1.25,4.5,10,1.25,4.5,10,1.25,5,11,1.22,5,9.5,1.57,2.13,,,1.234571429,4.757142857,10.38571429
E0,18/08/2002,Aston Villa,Liverpool,0,1,A,0,0,D,A D'Urso,11,12,5,6,9,5,6,8,2,2,0,0,3,3.25,2.1,3.01,3.26,2.15,2.9,3,2.2,3,3.2,2.1,2.88,3.25,2.2,3.4,3.1,2.1,3.2,3,2.1,1.87,1.77,,,3.055714286,3.151428571,2.135714286
E0,19/08/2002,Newcastle,West Ham,4,0,H,0,0,D,P Durkin,13,7,10,4,7,9,7,1,1,2,0,0,1.571,3.4,5.5,1.66,3.55,4.75,1.65,3.3,4.4,1.615,3.5,4.5,1.5,3.5,6,1.667,3.4,5,1.57,3.5,5,1.65,1.95,,,1.604714286,3.45,5.021428571
