Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,BbAvH,BbAvD,BbAvA
E0,16/08/03,Arsenal,Everton,2,1,H,1,0,H,M Halsey,11,13,5,7,8,15,6,9,1,3,1,1,1.4,3.8,8,1.44,4,7,1.35,4,7,1.333,4,8,1.4,3.75,7.5,1.4,3.75,7.5,1.28,4.5,8,1.75,1.95,1.7,2.1,1.9,1.9,-1.25,1.9,1.95,-1.25,1.975,1.925,-1.25,1.371857143,3.971428571,7.571428571
E0,16/08/03,Birmingham,Tottenham,1,0,H,1,0,H,R Styles,10,15,5,7,20,27,1,4,3,5,0,0,2.375,3.25,2.75,2.35,3.25,2.8,2.5,3,2.5,2.2,3.2,2.8,2.25,3.25,2.75,2.25,3.2,2.8,2.2,3.2,2.8,1.85,1.85,1.95,1.85,2.05,1.75,-0.25,1.75,2.1,0,2.1,1.8,-0.25,2.303571429,3.192857143,2.742857143
E0,16/08/03,Blackburn,Wolves,5,1,H,2,0,H,J Winter,25,8,13,5,8,14,6,2,1,1,0,0,1.615,3.4,5.5,1.68,3.4,5,1.7,3.2,4.2,1.615,3.5,4.5,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.5,5,1.85,1.85,1.9,1.9,1.95,1.85,-0.75,2,1.85,-0.75,1.95,1.95,-0.75,1.617142857,3.4,5.028571429
E0,16/08/03,Fulham,Middlesbrough,3,2,H,1,1,D,G Poll,17,8,9,5,18,16,7,6,1,1,0,0,2.3,3.25,2.8,2.4,3.25,2.7,2.1,3.1,3,2.375,3.2,2.6,2.2,3.25,2.8,2.2,3.2,2.87,2.3,3.2,2.62,1.95,1.75,2.1,1.7,1.8,2,0,1.85,2,0,2.1,1.8,-0.25,2.267857143,3.207142857,2.77
E0,16/08/03,Leicester,Southampton,2,2,D,2,0,H,M Riley,12,13,7,10,27,15,2,7,3,1,0,0,2.5,3.2,2.6,2.5,3.25,2.6,2.2,3.1,2.8,2.5,3.2,2.5,2.38,3.2,2.63,2.4,3.2,2.6,2.3,3.2,2.62,1.95,1.75,2,1.8,1.85,1.95,0,1.85,2,0,1.85,2.05,0,2.397142857,3.192857143,2.621428571
E0,16/08/03,Man United,Bolton,4,0,H,1,0,H,P Durkin,13,15,6,5,12,8,8,4,0,4,0,0,1.286,4.5,10,1.3,4.8,9,1.3,4.2,8,1.25,4.5,10,1.25,5,8.5,1.25,5,9,1.22,5,9.5,1.65,2.1,1.66,2.2,1.95,1.85,-1.75,1.95,1.9,-1.75,2.05,1.85,-1.75,1.265142857,4.714285714,9.142857143
E0,16/08/03,Portsmouth,Aston Villa,2,1,H,1,0,H,G Barber,4,9,3,5,18,22,7,9,2,1,0,1,2.375,3.25,2.75,2.4,3.25,2.7,2.4,3,2.6,2.375,3.2,2.6,2.38,3.3,2.8,2.25,3.2,2.8,2.3,3.2,2.62,1.9,1.8,1.9,1.9,2.05,1.75,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25,2.354285714,3.2,2.695714286
E0,17/08/03,Charlton,Man City,0,3,A,0,2,A,M Dean,10,14,5,8,12,16,4,7,2,1,1,0,2.25,3.4,2.75,2.38,3.25,2.75,2.1,3.1,3,2.25,3.2,2.75,2.25,3.25,2.75,2.3,3.2,2.75,2.37,3.3,2.5,1.9,1.8,1.85,1.95,2.05,1.75,-0.25,2.05,1.8,-0.25,1.8,2.1,0,2.271428571,3.242857143,2.75
E0,17/08/03,Leeds,Newcastle,2,2,D,1,1,D,R Martin,8,19,3,10,19,16,4,8,4,2,0,0,2.75,3.25,2.375,2.85,3.25,2.3,2.7,3,2.3,2.8,3.2,2.2,2.9,3.4,2.25,2.62,3.2,2.37,3,3.2,2.1,1.8,1.9,1.8,2,1.8,2,0.25,1.8,2.05,0.25,1.825,2.075,0.25,2.802857143,3.214285714,2.270714286
E0,17/08/03,Liverpool,Chelsea,1,2,A,0,1,A,S Bennett,12,10,7,6,13,12,8,6,3,1,0,0,2.25,3.25,2.875,2.25,3.25,3.25,2.3,3,2.7,2.25,3.2,2.75,2.25,3.3,3,2.2,3.2,2.87,2.3,3,2.8,1.9,1.8,1.9,1.9,2.05,1.85,-0.25,2.05,1.8,-0.25,2.1,1.8,-0.25,2.257142857,3.171428571,2.892142857
