club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Arsenal FC,Laurent Koscielny,24.0,Centre-Back,FC Lorient,£11.25m,in,11.25,Premier League,2010,2010/2011
Arsenal FC,Sébastien Squillaci,30.0,Centre-Back,Sevilla FC,£5.85m,in,5.85,Premier League,2010,2010/2011
Arsenal FC,Wellington Silva,18.0,Right Winger,Fluminense,£3.60m,in,3.6,Premier League,2010,2010/2011
Arsenal FC,Marouane Chamakh,26.0,Centre-Forward,G. Bordeaux,Free Transfer,in,0.0,Premier League,2010,2010/2011
Arsenal FC,Ryo Miyaichi,18.0,Right Winger,Chukyo HS,?,in,,Premier League,2010,2010/2011
Arsenal FC,Jens Lehmann,41.0,Goalkeeper,Career break,-,in,0.0,Premier League,2010,2010/2011
Arsenal FC,Mark Randall,21.0,Central Midfield,Rotherham,"End of loanMay 10, 2011",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Craig Eastmond,20.0,Defensive Midfield,Millwall,"End of loanMay 31, 2011",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Thomas Cruise,19.0,Centre-Back,Carlisle United,"End of loanDec 31, 2010",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Aaron Ramsey,20.0,Central Midfield,Cardiff,"End of loanFeb 28, 2011",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Vito Mannone,23.0,Goalkeeper,Hull City,"End of loanMay 8, 2011",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Jay Emmanuel-Thomas,20.0,Centre-Forward,Cardiff,"End of loanMay 23, 2011",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Aaron Ramsey,20.0,Central Midfield,Nottm Forest,"End of loanDec 31, 2010",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Sanchez Watt,20.0,Left Winger,Leeds,"End of loanMay 31, 2011",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Henri Lansbury,20.0,Central Midfield,Norwich,"End of loanMay 31, 2011",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Nacer Barazite,20.0,Attacking Midfield,Vitesse,"End of loanDec 23, 2010",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Jay Emmanuel-Thomas,19.0,Centre-Forward,Doncaster,"End of loanJun 1, 2010",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Pedro Botelho,20.0,Left-Back,Celta de Vigo,"End of loanJun 30, 2010",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Gavin Hoyte,20.0,Right-Back,Brighton,"End of loanJun 30, 2010",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Rene Steer,20.0,Left-Back,Oldham Athletic,"End of loanJun 30, 2010",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Mark Randall,20.0,Central Midfield,MK Dons,"End of loanJun 1, 2010",in,0.0,Premier League,2010,2010/2011
Arsenal FC,Eduardo,27.0,Centre-Forward,Shakhtar D.,£6.48m,out,6.48,Premier League,2010,2010/2011
Arsenal FC,Armand Traoré,20.0,Left-Back,Juventus,Loan fee:£450k,out,0.45,Premier League,2010,2010/2011
Arsenal FC,Nacer Barazite,20.0,Attacking Midfield,Austria Vienna,£360k,out,0.36,Premier League,2010,2010/2011
Arsenal FC,Rene Steer,20.0,Left-Back,Staines Town FC,Free Transfer,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Wellington Silva,18.0,Right Winger,Levante,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Sanchez Watt,19.0,Left Winger,Leeds,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Aaron Ramsey,20.0,Central Midfield,Cardiff,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Vito Mannone,22.0,Goalkeeper,Hull City,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Thomas Cruise,19.0,Centre-Back,Carlisle United,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Pedro Botelho,20.0,Left-Back,FC Cartagena,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Mikaël Silvestre,33.0,Centre-Back,Werder Bremen,Free Transfer,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Jay Emmanuel-Thomas,20.0,Centre-Forward,Cardiff,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Nacer Barazite,20.0,Attacking Midfield,Vitesse,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Gavin Hoyte,20.0,Right-Back,Lincoln City,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Philippe Senderos,25.0,Centre-Back,Fulham,Free Transfer,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Aaron Ramsey,19.0,Central Midfield,Nottm Forest,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,William Gallas,33.0,Centre-Back,Spurs,Free Transfer,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Ryo Miyaichi,18.0,Right Winger,Feyenoord,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Craig Eastmond,20.0,Defensive Midfield,Millwall,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Mark Randall,21.0,Central Midfield,Rotherham,Loan,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Fran Mérida,20.0,Central Midfield,Atlético Madrid,Free Transfer,out,0.0,Premier League,2010,2010/2011
Arsenal FC,Henri Lansbury,20.0,Central Midfield,Norwich,Loan,out,0.0,Premier League,2010,2010/2011
