Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G
1, Manchester City,19,17,1,1,,,,52,2.74,19,10,4,5,,,,34,1.79
2, Liverpool,19,16,1,2,,,,49,2.58,19,10,5,4,,,,35,1.84
3, Chelsea,19,15,3,1,,,,48,2.53,19,10,4,5,,,,34,1.79
4, Arsenal,19,13,5,1,,,,44,2.32,19,11,2,6,,,,35,1.84
5, Everton,19,13,3,3,,,,42,2.21,19,8,6,5,,,,30,1.58
6, Tottenham,19,11,3,5,,,,36,1.89,19,10,3,6,,,,33,1.74
7, Manchester Utd,19,9,3,7,,,,30,1.58,19,10,4,5,,,,34,1.79
8, Southampton,19,8,6,5,,,,30,1.58,19,7,5,7,,,,26,1.37
9, Stoke City,19,10,6,3,,,,36,1.89,19,3,5,11,,,,14,0.74
10, Newcastle Utd,19,8,3,8,,,,27,1.42,19,7,1,11,,,,22,1.16
11, Crystal Palace,19,8,3,8,,,,27,1.42,19,5,3,11,,,,18,0.95
12, Swansea City,19,6,5,8,,,,23,1.21,19,5,4,10,,,,19,1.00
13, West Ham,19,7,3,9,,,,24,1.26,19,4,4,11,,,,16,0.84
14, Sunderland,19,5,3,11,,,,18,0.95,19,5,5,9,,,,20,1.05
15, Aston Villa,19,6,3,10,,,,21,1.11,19,4,5,10,,,,17,0.89
16, Hull City,19,7,4,8,,,,25,1.32,19,3,3,13,,,,12,0.63
17, West Brom,19,4,9,6,,,,21,1.11,19,3,6,10,,,,15,0.79
18, Norwich City,19,6,6,7,,,,24,1.26,19,2,3,14,,,,9,0.47
19, Fulham,19,5,3,11,,,,18,0.95,19,4,2,13,,,,14,0.74
20, Cardiff City,19,5,5,9,,,,20,1.05,19,2,4,13,,,,10,0.53
