Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90
1, Manchester City,19,18,0,1,57,12,+45,54,2.84,46.4,14.5,+31.8,+1.68,19,14,2,3,38,11,+27,44,2.32,35.7,11.1,+24.6,+1.30
2, Liverpool,19,17,2,0,55,10,+45,53,2.79,41.9,13.9,+28.0,+1.48,19,13,5,1,34,12,+22,44,2.32,31.5,16.0,+15.5,+0.82
3, Chelsea,19,12,6,1,39,12,+27,42,2.21,30.0,14.5,+15.5,+0.82,19,9,3,7,24,27,-3,30,1.58,28.5,20.7,+7.8,+0.41
4, Tottenham,19,12,2,5,34,16,+18,38,2.00,31.6,23.7,+7.9,+0.41,19,11,0,8,33,23,+10,33,1.74,24.0,21.7,+2.3,+0.12
5, Arsenal,19,14,3,2,42,16,+26,45,2.37,33.5,23.2,+10.3,+0.54,19,7,4,8,31,35,-4,25,1.32,23.7,31.3,-7.6,-0.40
6, Manchester Utd,19,10,6,3,33,25,+8,36,1.89,31.0,19.9,+11.1,+0.58,19,9,3,7,32,29,+3,30,1.58,28.5,28.0,+0.5,+0.03
7, Wolves,19,10,4,5,28,21,+7,34,1.79,29.7,17.1,+12.6,+0.67,19,6,5,8,19,25,-6,23,1.21,20.2,21.4,-1.2,-0.06
8, Everton,19,10,4,5,30,21,+9,34,1.79,25.8,21.6,+4.2,+0.22,19,5,5,9,24,25,-1,20,1.05,20.8,23.4,-2.7,-0.14
9, Leicester City,19,8,3,8,24,20,+4,27,1.42,25.8,18.9,+6.9,+0.37,19,7,4,8,27,28,-1,25,1.32,23.5,23.7,-0.2,-0.01
10, West Ham,19,9,4,6,32,27,+5,31,1.63,26.4,24.9,+1.5,+0.08,19,6,3,10,20,28,-8,21,1.11,22.7,36.1,-13.4,-0.70
11, Watford,19,8,3,8,26,28,-2,27,1.42,22.7,27.2,-4.5,-0.24,19,6,5,8,26,31,-5,23,1.21,25.2,27.2,-1.9,-0.10
12, Crystal Palace,19,5,5,9,19,23,-4,20,1.05,27.9,21.7,+6.2,+0.33,19,9,2,8,32,30,+2,29,1.53,22.2,26.8,-4.6,-0.24
13, Newcastle Utd,19,8,1,10,24,25,-1,25,1.32,22.4,23.1,-0.7,-0.04,19,4,8,7,18,23,-5,20,1.05,16.3,29.3,-12.9,-0.68
14, Bournemouth,19,8,5,6,30,25,+5,29,1.53,28.4,24.5,+3.9,+0.21,19,5,1,13,26,45,-19,16,0.84,24.9,31.3,-6.4,-0.34
15, Burnley,19,7,2,10,24,32,-8,23,1.21,24.6,27.6,-3.0,-0.16,19,4,5,10,21,36,-15,17,0.89,17.3,35.5,-18.2,-0.96
16, Southampton,19,5,8,6,27,30,-3,23,1.21,22.6,25.0,-2.4,-0.13,19,4,4,11,18,35,-17,16,0.84,22.8,29.9,-7.1,-0.38
17, Brighton,19,6,5,8,19,28,-9,23,1.21,20.6,23.1,-2.5,-0.13,19,3,4,12,16,32,-16,13,0.68,13.8,33.3,-19.5,-1.03
18, Cardiff City,19,6,2,11,21,38,-17,20,1.05,23.0,26.1,-3.0,-0.16,19,4,2,13,13,31,-18,14,0.74,16.7,35.7,-19.0,-1.00
19, Fulham,19,6,3,10,22,36,-14,21,1.11,22.6,27.8,-5.2,-0.27,19,1,2,16,12,45,-33,5,0.26,17.1,37.4,-20.4,-1.07
20, Huddersfield,19,2,3,14,10,31,-21,9,0.47,15.5,30.6,-15.1,-0.79,19,1,4,14,12,45,-33,7,0.37,13.4,32.7,-19.4,-1.02
