,Name,League,ATT,MID,DEF,OVR,Team Rating
,Manchester City,Premier League,86,87,83,86,
,Liverpool,Premier League,86,83,84,84,
,Tottenham Hotspur,Premier League,86,83,82,83,
,Arsenal,Premier League,86,82,80,81,
,Manchester United,Premier League,83,79,80,81,
,Chelsea,Premier League,79,84,80,81,
,Everton,Premier League,77,79,80,79,
,West Ham United,Premier League,83,79,76,78,
,Leicester City,Premier League,79,77,77,78,
,Wolverhampton Wanderers,Premier League,77,80,77,78,
,Watford,Premier League,77,79,76,78,
,AFC Bournemouth,Premier League,79,77,76,77,
,Newcastle United,Premier League,78,76,76,77,
,Crystal Palace,Premier League,75,77,76,77,
,Burnley,Premier League,77,76,76,76,
,Brighton & Hove Albion,Premier League,76,76,75,76,
,Southampton,Premier League,75,76,76,76,
,Aston Villa,Premier League,76,75,74,75,
,Norwich City,Premier League,76,73,72,74,
,Sheffield United,Premier League,73,73,73,73,
